pos,videoId,kind,day_result,pnl_usd,account,trades_n,symbols,setups,mistakes,market,first_et,last_et,max_loss_hit,notable
521,kxCAA21duKs,recap,notrade,0,?,0,?,?,none,cold,?,?,?,No-trade day; skipped HKD +200% because 124M float fails five pillars; flat is better than red
524,CdTm3CJ3tkY,recap,notrade,?,?,0,?,?,none,cold,?,?,?,"No-trade day in a cold market; cuts share size and trades less when cold, expects a hot cycle before year end"
525,mcCj0QJoqg4,recap,red,-6200,?,3,PPBT;SMX;ERNA,micro_pullback,traded_low_quality,cold,?,?,?,Worst month of the year; -6000 on sub-$1 PPBT; back to bread-and-butter A-quality setups tomorrow
527,VgYKWmod5TA,recap,red,-6600,?,4,VSEE;IPDN;OP,dip_buy;micro_pullback;half_whole_dollar,slippage,cold,09:00,09:12,N,"Successful red day: shut broker down at 9:15 after third trade flipped him red, nowhere near max loss"
529,XM_sBC6u_L8,recap,green,20000,?,?,RECCT;KITT,dip_buy;micro_pullback;half_whole_dollar,chased_extended,mixed,08:00,?,?,"Up $20k, half of last week's total; only filled 677 of a 5,000-share order on first RECCT entry"
530,AY4XES-fL-g,watchlist,?,?,?,?,?,?,?,cold,?,?,?,CLIK is the top pick for Monday; +$190k over 3 weeks since the -$172k Oct 7 loss at 75% accuracy
533,AuSHflRILjU,recap,green,6598,?,8,NEUP,dip_buy,didnt_bank_green,cold,07:00,?,?,"Daily goal is $5k in a cold market vs $20k in a hot one; was +$8k on one NEUP trade, exited for +$500"
535,qtOdkPKiEgw,recap,green,2400,?,3,AREB,micro_pullback,none,?,?,?,?,"Rule: walk away if you give back half the day's gain, and only size up after building a cushion"
537,ivTadedOL7M,recap,green,11103,?,?,SHMD;FLWS;BNBX,micro_pullback;dip_buy,didnt_bank_green,?,?,?,?,"Trader rehab complete: 9 days to recover -$172k, 78% accuracy, $4.7k avg winner, $694 avg loser"
538,Zdr4n8RSOmQ,recap,green,?,?,?,NERV,first_pullback;dip_buy,none,?,?,?,?,Made over $11k on NERV; stops trading the leg when 1-min MACD goes negative; news hit at 8:00 ET
539,qgKH38psE2s,recap,green,11013,main,3,GNLN,micro_pullback;dip_buy,none,?,08:30,?,?,"Skipped GSIT's 200% run on 21M float plus easy-to-borrow; daily goal $20k, locked $11k instead"
541,OWjjmR0VTdc,watchlist,?,?,?,?,?,?,?,?,?,?,?,"Still $24k in drawdown from the -$172k day; plan is build a cushion first then size up, quality over quantity"
542,BlBUug5XNlI,recap,red,-73.88,small,?,?,?,?,cold,?,?,?,"Leg 2 no leverage: 31 trades, +$4,168, 214% growth in 12 days, 74% accuracy; first red day of the leg"
544,0Zh105lq9Rk,recap,green,730,small,2,CY;ELWS,micro_pullback;dip_buy,none,cold,09:15,09:42,N,"Account $1,940 to $6,212 (+220%) in 11 days over 29 trades; caps daily drawdown at 10%"
545,q_ZliMvD8yc,recap,green,37745,both,4,COOT;IBG,dip_buy;vwap_break;half_whole_dollar,divided_attention,cold,?,?,N,Small account +$551 on 4 trades (+184% over 27 trades); punched order for wrong of two same-price tickers
546,YHPg5_HCRKU,recap,green,480,small,1,CYN,dip_buy;micro_pullback,none,cold,07:02,07:02,N,"One trade only: bought CYN dip on 7am news, +$480 = +10% of account, off five-pillars scan"
548,7sqElDnklB8,other,?,?,?,?,?,?,?,?,?,?,?,PSA on comment-section crypto pump bots and AI impostor scams; no trading content
550,0jZhavzGYJQ,recap,green,18668,main,?,STI;ATON;CHNR;NDRA,micro_pullback;half_whole_dollar;flat_top,didnt_bank_green,?,?,?,N,No small-account trades; gave back half of a ~$10K gain on CHNR; lost $188K on one stock last Tuesday
551,ELoPES2rUeM,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Still down $83K since drawdown began; watching biotech theme, passes on GWH, SGBX and YHGJ for Monday"
553,QT0cDA5k9IQ,recap,green,20000,both,?,QNRX;GWH;GRV,micro_pullback;first_pullback,didnt_bank_green;divided_attention,?,?,?,N,Small account +$754 (+20%); YTD $5.6M on $2-20 stocks at 72% accuracy vs only $130K above $20
555,Rk_4f_lO1mE,recap,green,42000,both,?,BJDX,dip_buy;half_whole_dollar;micro_pullback,none,mixed,06:45,?,N,Traded only BJDX; refused GLTO (the -$188K stock) and all names over $20; recovered ~half the drawdown
557,1stvZWKwSwk,recap,green,26000,both,?,UPC;AT;ARNA;MYNZ,dip_buy;first_pullback;micro_pullback,none,?,?,?,N,"Pre-set $15,000 max risk for the day after -$172K; says his sweet spot is $2-20 stocks at 72% accuracy"
561,2QVGIGDjrM0,recap,green,204,both,2,LIITM;APDN;SPB,micro_pullback;half_whole_dollar,none,?,07:23,08:00,N,Skipped SPB (+400%) in small account: 50-70c spreads vs his 18c average winner; traded it in big account
562,ZCn5huxksQQ,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Monday filter: $2-10 price, float under 10M, has news, top-3 leading gainer; calls the market cold"
564,7e52n1veFwE,recap,green,375,both,3,ASTC;SMX,micro_pullback;first_pullback,none,cold,09:15,?,N,"Day 3 +$375 (+15%); four market stages cold-spark-hot-exhausted; red on SMX in main, green in small"
568,LE8YtxuwZRo,recap,green,454.51,small,3,VCIG;EPSM,micro_pullback;dip_buy,none,mixed,?,?,?,"Avg winner only 18 cents/share this year; no-leverage leg, could afford just 231 shares of VCIG"
570,n5tWaS3u9Ks,recap,green,5000,main,1,SLXN,dip_buy,?,mixed,?,?,?,"Crypto-treasury private placement theme fading; skipped no-news IBG on bias, MSS and POAI both faded"
571,ZRRCyIoZnHE,recap,green,34541,small,?,MSS;POAI,micro_pullback;first_pullback,chased_extended,?,08:30,?,?,"MSS +$8,900 and POAI +$25,000; 30k-share order rejected so only filled 4,000; BQ ran without him"
572,SUXNhTshjLA,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,"Last week 20 trades 18 winners 90% accuracy avg winner $1,300; watching JFB, STKH, SHFS Monday"
574,Xy3SeJcUYew,interview,?,?,?,?,?,?,?,?,?,?,?,"FINRA approved cutting PDT minimum from $25,000 to $2,000; argues margin and leverage should be decoupled"
576,AxDvV-Q0NM8,recap,green,842.96,small,2,SPRC;EVAX,dip_buy;half_whole_dollar,chased_extended;slippage,cold,07:12,?,?,"Smallest green day, took scraps instead of a no-trade day; SPRC +$647 filled only 1,800 of 7,000 shares"
577,FXpltGCWfuY,recap,green,7521.28,small,2,SHFS;TNFA,vwap_break;dip_buy;half_whole_dollar,none,cold,09:15,?,?,Sat 2 hours with no news; skipped JZXN after filings showed $900k cash behind a $1B crypto claim
578,TvvZ2KQdJ_A,news,?,?,?,?,?,?,?,?,?,?,?,"FINRA voted to amend PDT rule from $25,000 to $2,000; now goes to SEC for approval"
579,SIW2sEdaQFA,recap,green,5962.75,small,1,FLD,micro_pullback,none,?,?,?,?,One entry one exit on FLD Bitcoin rewards card news; account $2k to $11k in two days
581,78I0DsTmZOA,recap,green,3149,small,4,AGRI;QLGN;BOXL,micro_pullback;half_whole_dollar;dip_buy;other,none,hot,?,?,?,"Day 1 of $2k challenge, 4 trades 100% accuracy, 6x leverage offshore broker, 10% risk 10% goal"
583,vNm7txYf7HA,recap,green,232000,main,?,AGMH;ZOZ,micro_pullback;abcd;dip_buy,oversized;added_to_loser;no_cushion,hot,?,?,?,Down $15k early on AGMH then +$232k on ZOZ $100M private placement Bitcoin treasury headline
585,tJvPy0TEXCY,recap,green,10854.63,main,5,BCDA;TURB;LC;APVO,dip_buy;half_whole_dollar;other,reentry_after_stop,cold,07:00,?,?,"Accidental shift+enter sent 20,000 shares of BCDA for -$8k; TURB +$20k flipped the day green"
586,zXYKuEIBhsQ,recap,green,24971,main,?,HIND;QNRX;CWD;LITM,micro_pullback;dip_buy,didnt_bank_green,mixed,07:30,?,?,Hit +$22k on first trade then gave back $19k; up $540k over the last 8 days
587,STtOeOeip7s,recap,green,50869,main,7,FGI;AIHS;NUKK;STSS;SNTG;APVO;TURB,micro_pullback;vwap_break;half_whole_dollar;dip_buy,none,hot,?,?,?,Green on 7 of 7 stocks; up $147k on the week and over $500k on the month
589,5hMvCtmVFyQ,recap,green,97195,main,5,EVTV;CHK;NAOV;FRGT,micro_pullback;vwap_break;dip_buy,none,hot,?,?,?,Five trades five winners; month went from $374k to $470k in one day
590,93GWZHDS974,watchlist,?,?,?,?,?,?,?,hot,?,?,?,Trades the 7-10am window; uses full account on one trade but never risks over 10% of account in a day
591,4rhcLRzQJdg,recap,green,63785,main,?,GCTK;WLDS;UKA;COCP,micro_pullback;flat_top;half_whole_dollar;dip_buy,none,hot,07:00,08:35,?,Green on 4 of 4 stocks; average daily gain $77k; up about $370k on the month
593,b_yYtICYmXE,recap,green,169394,main,?,AMST;SLXN;VNCE;KZIA;MOGU,micro_pullback;vwap_break;dip_buy,ignored_own_filter,hot,?,?,?,Biggest day since July 14; over $300k on the week; rule to trade only the most obvious stock
594,toPPxbAD0iY,recap,green,25630,main,?,ASST;CAMP;GLE;CWD;PTNM;WLDS;RBNE,vwap_break;bull_flag;micro_pullback;half_whole_dollar,divided_attention;chased_extended;didnt_bank_green,hot,?,?,?,Peaked at $86k then lost about $65k chasing WLDS after being distracted by RBNE
597,SLpD6pVlpT8,recap,green,86647,main,?,DSY;ZONE;MMA;GIBO;CWD,micro_pullback;vwap_break;dip_buy;half_whole_dollar,oversized;added_to_loser;ignored_own_filter;didnt_bank_green,hot,07:00,09:30,?,Peaked $186k gave back $100k; called it a day after giving back over 50% of peak profit
599,vvXX2ycveuw,training,green,31000,main,?,OCTO,micro_pullback;first_pullback;dip_buy,none,hot,06:58,?,?,"Only trades when MACD 12-26-9 is positive or crossing positive, with 5x relative volume"
600,MEwW0PSDUmY,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Down $1,400 to start September; plans small size and 7-10am only until momentum returns"
601,C2bb5mQ0wSs,training,green,24000,main,?,?,?,?,?,?,?,?,"Mentions being up over $24,000 that day in passing; early goal was $200 a day on 1,000 shares"
602,JU6x5oNCc1A,recap,red,-300,main,?,INHD;CRO;PAPL;MSPR;HOUR,dip_buy;half_whole_dollar;halt_resumption,reentry_after_stop,cold,07:05,?,N,"Daily max loss is -$25,000; recovered from -$10k thanks to PAPL dip and rip after the halt"
604,Wlce2tMNDOI,recap,red,-12000,?,?,BBLG;PPBT;NAOV;CIGL;HW,micro_pullback;abcd,added_to_loser;oversized;ignored_own_filter;chased_extended,cold,?,?,?,Lifted his 25k max share cap out of frustration and lost $23k on CIGL at 80k shares
605,IdMB7bYp_D4,recap,green,?,?,?,STI;SN;IPDN;AIHS;BAOS;LCFY,dip_buy;micro_pullback;flat_top;half_whole_dollar,chased_extended,cold,07:00,?,N,"First trade -$3,500 on STI was his biggest trade of the day; avg losers bigger than avg winners"
607,_KyMhv3ACuc,recap,green,9943,?,2,SHFS;ADN,micro_pullback,none,?,07:00,08:00,?,Only 2 trades both green; skipped UU and SSKN because easy-to-borrow status invites shorts
608,_kR_bzxVEGQ,watchlist,?,?,?,?,?,?,?,cold,?,?,?,August was his worst month of the year at $118k; YTD $5.025M with $31k average daily gain
610,6Wwdpd62m2c,training,?,?,?,?,BSLK,first_pullback,?,hot,?,?,?,Sizes up in hot markets; after first outsized loss cuts size 50% until half the loss is recovered
612,qdA8YfQCbU8,recap,green,?,?,?,SOGP;YAI;NUKK;YDES;IPDN,dip_buy;micro_pullback;half_whole_dollar;halt_resumption,added_to_loser;chased_extended;slippage,cold,07:00,?,?,"Down $13,500 early then recovered to green; -$7k SOGP, -$5.7k YAI, +$5.5k NUKK"
613,d-0NNb1XvhA,training,?,?,?,?,?,?,?,?,?,?,?,Trades only 7-10am from a Sprinter van in Canada; warns counter-trend shorting risks unlimited loss
615,brtFX7HGt5I,recap,green,12175,?,8,SPRC;STSS,dip_buy;micro_pullback,didnt_bank_green,cold,06:57,?,?,Cold-market daily goal $5k vs hot-market $20k; 6 of 8 trades green after two no-trade days
616,BtezoKJQsRk,recap,notrade,0,?,0,?,?,none,cold,?,?,?,"Second no-trade day in a row, likely a career first; sat from 7:00 to 9:30 with nothing tradable"
619,SoQT48tw7VI,recap,notrade,0,?,0,?,?,none,cold,?,?,?,"No-trade day; skipped ALR, HKPD and FOD for wide spreads, low price and high float"
620,r4fGR6Y52Zs,recap,green,7983,?,11,ASST;HCWB,vwap_break;micro_pullback;dip_buy,none,cold,07:13,?,?,Watch-list name THR ran 68% but he skipped it with no cushion; 11 trades at 100% accuracy
622,QmTfyp8m2-8,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,Crypto-treasury catalyst overplayed so those headlines no longer move stocks; TH is top watch
624,ELxwQ3r0JUs,training,?,?,?,?,?,?,?,?,?,?,?,"10 skills by month 1/year 1/decade; 2:1 profit-loss ratio, 71% accuracy, ~$20M career gross"
626,eHwRAALDrNQ,recap,green,5000,?,?,EIQ;ELAB;ZNB,micro_pullback;dip_buy,back_side,cold,?,?,?,Hit cold-market $5k goal not hot-market goal; ZNB round-tripped $2.50 to $6 back to $2.30
628,OyhGtb86F8U,recap,green,2400,?,4,PTIX,dip_buy;half_whole_dollar,none,cold,08:13,?,?,4 trades all winners avg ~$600; puzzled PTIX 500k float and 86M volume only up 150%
630,97ydughh3Dw,recap,green,8098,?,7,SISI,first_pullback;micro_pullback;vwap_break,slippage,cold,07:00,?,?,7 trades 7 winners; ~$100k MTD vs over $1M last month; MTD avg win and avg loss both $3k
631,ZY_GJSl4nWk,recap,green,3000,?,?,PRFX;LASE,micro_pullback;red_to_green,none,cold,07:13,?,?,"Down $3,200 after two stopped-out entries then finished +$3,000 on PRFX red-to-green at $3.18"
633,9Rp6V0eMuew,recap,red,-2869,?,?,SNGX;VTA;PPCB,dip_buy;micro_pullback;half_whole_dollar;vwap_break,traded_low_quality;reentry_after_stop,cold,07:30,?,?,Traded quarter of full size all day; quit at 10am with no cushion to avoid emotional spiral
634,2B0AunXf908,watchlist,?,?,?,?,?,?,?,mixed,?,?,?,Only BTAI a maybe off continuation scan; needs $500k over next 2 weeks for $3M summer goal
636,KohkZJx7iG8,training,green,25000,?,?,M,?,none,?,?,?,?,"Five beginner tools: laptop, three monitors, scanners, candlestick charts with 10s, hotkey broker"
638,ptcb6O_PWYA,recap,green,24118,?,?,VMAR;PGEN;TIVC,micro_pullback;dip_buy;half_whole_dollar;vwap_break,chased_extended,cold,?,?,?,Peaked +$25k gave back ~$1k; account back at all-time highs after $50k drawdown
640,uhJszOo4eTk,recap,green,16000,?,?,SOA;XOS;XP,dip_buy;half_whole_dollar,didnt_bank_green,cold,07:00,?,?,"Peaked +$19,900 then gave back ~$3,500 on XP; stopped over repeated $1-a-share red candles"
642,nohqMp6PXtc,recap,green,19967,?,4,ATNF;BSLK,dip_buy;micro_pullback,none,cold,?,?,?,"4 trades 4 winners; BSLK 10k shares at 3.52 stop 3.45 for $700 risk made $5,669"
643,FmzHex3IzW0,recap,green,4323,?,?,ATNF,dip_buy;halt_resumption,none,mixed,?,?,?,Afternoon trades at reduced size; bought halt-resumption dip and sold 80% into the next halt
644,ntM09DJj15E,recap,notrade,?,?,0,?,?,none,cold,?,?,?,Second no-trade day in a row; pulled buying power out of account after -$44k Aug 1; passed on ATNF +72%
646,glDujVuXiiI,recap,notrade,?,?,0,?,?,none,cold,?,?,?,Second no-trade day of 2025; would not even open trading platform; quit at 10:15 after 7am start
647,8evKaa5xhOQ,watchlist,?,?,?,?,?,?,?,cold,?,?,?,"Watchlist ZBAI HTCO ACXP AUD, all recent reverse splits; rule: colder market, reduce share size"
648,ROz7q2ZzZ3k,recap,green,1100,?,4,SPRU;ATNF;BTI;PAPL,flat_top;first_pullback,chased_extended;traded_low_quality,cold,?,?,?,"Only +$1,100; August MTD $14,970 against a $1M month goal; no cushion so staying defensive"
650,5pz-CSYpEGw,recap,green,2500,?,?,CMCT,vwap_break,chased_extended,cold,?,?,?,"Made $2,500 on CMCT; better to lock up green than get aggressive on low-quality setups when cold"
651,OcPYKZH9-fc,recap,green,17024,?,?,GV;AIMD;MLGO,half_whole_dollar;other,traded_low_quality,cold,?,?,?,"Peak +$20k which is the daily goal, gave back 10% and quit; still in drawdown from -$45k day"
654,f7Wi_8VGtPs,recap,green,5789.8,?,3,AUD;NWE,dip_buy;first_pullback,none,mixed,?,08:15,?,Rule: needs a cushion built between 7am and 9am before taking risk; red on the month after -$44k
656,WEg63zxZ42s,recap,green,25000,?,10,HCTI;ARTL;VERB;BTBD,dip_buy;halt_resumption;other,none,cold,?,?,?,"About 10 trades and one loser; +$21,142 on HCTI in first 10 min; build cushion before sizing up"
657,a_ogMnihcIU,watchlist,?,?,?,?,?,?,?,?,?,?,?,"Friday -$44k after doubling 30k to 60k shares with no cushion; rule: small size, build cushion first"
659,N7o5FxlBT0I,training,?,?,?,?,?,?,?,?,?,?,?,"Five truths: copy a proven strategy, obsess over metrics, emotional control, learn to lose, size up slowly"
660,nZfFe4EnWXw,recap,red,-44000,?,2,MSW;MWYN,micro_pullback;flat_top,broke_ice_boredom;traded_low_quality;didnt_bank_green;ignored_own_filter,cold,08:30,?,N,"Max loss is $50k and stopped at -$44k; -$36,744 on MSW in 90 seconds on 60k shares, no real news"
663,fgA7-UKLfac,recap,green,32015,?,?,YMAT;PAPL;PBM;SNGX;SLXN,first_pullback;halt_resumption;other,chased_extended;reentry_after_stop;didnt_bank_green;no_cushion,?,?,?,?,SLXN halt dip-and-rip +$16k he says in hindsight he should not have taken; PBM -$15k over 3-4 tries
665,YKYQa0hxz0Q,recap,green,13512,?,?,BGLC;IMN,dip_buy;other,traded_low_quality,cold,?,?,?,Down 38k on the week; quit at +13k because his best time-of-day window had closed
667,0VhQKQwyd9A,recap,green,7400,?,?,AGRI;NTHI,half_whole_dollar;dip_buy,didnt_bank_green;traded_low_quality,cold,?,?,?,Peaked +24k gave back to +7.4k; won't size up again until he has recouped about half the drawdown
669,-N7FApYrl5c,recap,red,-58000,?,3,VAPE;ATHE;CRVO,reversal;other,chased_extended;back_side;oversized;didnt_bank_green,hot,?,08:30,Y,Max loss set at 50k; rule is never lose more than he can make in one good day
670,dEEisa2i7fA,watchlist,?,?,?,?,?,?,?,hot,?,?,?,Top pick MCVT plus IMN and TWWG; expects MCVT to squeeze between 4am and 7am and go without him
671,JVn6RVaDH5Y,other,?,?,?,?,?,?,?,?,?,?,?,Short clip; says he missed LHAI squeezing over 300% while out for a medical procedure
673,MZ99FWF9xoE,news,?,?,?,?,HTO,?,?,?,?,?,?,Proposed PDT rule change from 25000 to 2000 minimum; 8-12 months out even if approved
674,_0YVEB5qsYk,recap,green,?,?,?,LHAI;SWG;PHIO;ATNF;MCVT,micro_pullback;dip_buy;reversal;half_whole_dollar,chased_extended;oversized;reentry_after_stop;didnt_bank_green,mixed,?,?,?,FOMO from missing LHAI the prior day drove oversized entries; 30k of losses against 45-50k of wins
677,hHdplVBpfNs,recap,green,90000,?,?,PAPL;BULL,micro_pullback;dip_buy;flat_top,chased_extended,hot,06:58,?,?,Made 77000 in four minutes on PAPL; only about 30 of 180 minutes were actually spent in trades
678,k2lxnmaNKYk,recap,green,59596,?,?,IVF;GVH;IPDN;HTO;KSS,micro_pullback;dip_buy;reversal;flat_top;vwap_break;halt_resumption;half_whole_dollar,chased_extended;ignored_own_filter;reentry_after_stop;didnt_bank_green,mixed,07:00,?,?,Peaked +71k and quit at +59.6k; lost 10k on Kohls buying the break of 20 into hidden sellers
680,PbhLEGv4mlQ,recap,green,55000,?,?,GCTK;HSDT;SABS;MEIP,micro_pullback;dip_buy;half_whole_dollar,didnt_bank_green,hot,06:55,?,?,43k of the 55k came from HSDT on 7am biotech news; gave back 15k adding on a late micro pullback
681,Wy-1sNUVwhw,watchlist,?,?,?,?,?,?,?,hot,?,?,?,Watching GCTK HCWB and CYC; cautious on no-news moves after suspected front-running on VLCN and MEIP
682,8UBQoGFF87c,recap,green,57489,?,?,KMRK;LWR;MEIP,dip_buy;vwap_break;reversal,none,cold,?,?,?,Prior day peaked at +250k on VLCN and still closed red; today deliberately small and selective
683,5VrXkd7PsgQ,recap,red,-3000,?,?,VLCN;MRKR,first_pullback;dip_buy;halt_resumption,didnt_bank_green;slippage;oversized;stop_widened,?,08:30,?,Y,Up 200k on 20k shares of VLCN then -55k in under a minute; hit max loss and had Lightspeed raise it to 35k
685,0yFYtidECwk,recap,green,38513,?,?,NWE;MLEC;QLGN,first_pullback;dip_buy,divided_attention,?,?,08:04,?,"Made 47k on NWE first pullbacks, lost 9,850 on MLEC; PC blue-screened pre-open and he felt unwell so skipped the open"
687,37Iod_kBzxw,recap,green,22000,?,?,HTOO;NWE;XAGX;LRHC;CYCC,flat_top;half_whole_dollar;halt_resumption;dip_buy,traded_low_quality;reentry_after_stop;didnt_bank_green,cold,?,?,N,"Daily goal 20k vs 25k max loss; started -6k, made 14,676 on XAGX after giving back 10k of a 25k peak"
689,cipbQ5yQKH0,recap,green,129000,?,?,SQFT;ALBT;DARE;SLE;LGHL,dip_buy;first_pullback;micro_pullback;abcd,chased_extended;didnt_bank_green,hot,07:00,?,?,SQFT gave 58k of the 129k day; missed SN's 6-to-30 spike at 6am while his laptop was still loading
690,2MdgpVCzPdo,watchlist,?,?,?,?,?,?,?,?,?,?,?,"Five pillars of stock selection - find the most obvious leading gainer first, then trade whatever pattern it gives"
691,pyDzzEq8tSU,recap,green,78000,?,?,INKT;CVM;HOLO;SGN;ABVE,micro_pullback;halt_resumption;dip_buy,didnt_bank_green;reentry_after_stop,hot,?,?,?,60k of the 78k came from INKT (+578%); peaked at 88k then lost 13k on one CVM trade
693,unT7zASfboE,recap,green,156000,?,?,BTCM;AI;SAFX;KWM,micro_pullback;first_pullback;dip_buy,didnt_bank_green;slippage,mixed,06:57,08:30,?,BTCM alone made 79k of the 156k; icebreaker trade at 06:57 was a 600 loss before he scaled up
694,0JyLV9PNuQo,recap,green,33465,?,?,BMGL;SCA;BCTX;PRLD;KZIA;SBET;EVOK,dip_buy;first_pullback;half_whole_dollar,oversized;didnt_bank_green,hot,06:53,09:30,Y,"Lost 24,930 on 60,000 shares of BMGL at 07:00, right at his 25k max loss; EVOK dragged him back to green"
695,4f9q09peamY,recap,green,219000,?,?,NDRA;ASST;MMK;IR,first_pullback;micro_pullback;dip_buy,added_to_loser;didnt_bank_green,hot,07:00,?,?,"179k of the 219k from NDRA; lost 35k adding 12,000 shares into a bounce that never came, off a 235k peak"
696,J_PVXyzn70Q,recap,green,67523,?,?,SVRE;ARTL;LGPS;SN;MBIO;EJH;CYCC,first_pullback;dip_buy;vwap_break,oversized;didnt_bank_green,hot,07:30,?,?,Peaked at 71k; took his biggest position of the day into MBIO's high-volume red candle and gave back over half
697,k2X1iBTrEaI,watchlist,?,?,?,?,?,?,?,hot,?,?,?,A 4am spike on no news is often an institution buying to create liquidity so it can sell all day - treat it as a short
701,W5zBRB9xTw0,recap,green,17913,?,?,CYN;VCIG;MOGO,half_whole_dollar;red_to_green;flat_top,didnt_bank_green,mixed,07:04,09:30,?,Slowest day of the week; MOGO's Bitcoin-treasury headline was believed while ATXG's term-sheet version reversed
703,1cI_qgeTH0g,recap,green,51000,main,?,CLRO;BGLC;BMNR;SNGX;TRNR;VVOS;WETO,first_pullback;micro_pullback;vwap_break;dip_buy,didnt_bank_green;reentry_after_stop;ignored_own_filter;divided_attention,mixed,07:00,?,?,Peaked +63k then gave back a third; -22k on TRNR; says attention was dispersed across 7 stocks
704,6nagXyTwYyc,recap,green,99000,main,?,BMNR;WBUY;ARTL;XCUR,micro_pullback;vwap_break;halt_resumption;dip_buy,none,?,06:45,?,?,"Green on 4 of 4 stocks; closed June +$1.3M vs $1M goal, trading a Roth IRA so profits are tax-free"
705,3UHvbiVDfCE,recap,green,67000,main,?,LCFY,?,?,mixed,?,?,?,Sunday game plan; Friday +67k off an 82k peak; warns China small caps can retrace the whole squeeze
708,ZzQpcP_xWhw,recap,green,67300,main,?,CYN;BBLG;LCFY;HCWB,micro_pullback;dip_buy;vwap_break,didnt_bank_green,hot,?,?,?,"Peaked +82k, gave back 15k; LCFY +41k, BBLG +33k, CYN -9k after two secondary offerings in 2 days"
710,RUuJzmz5jCg,recap,green,4610,main,?,CYN;KWE;JFBR;ASI,micro_pullback;dip_buy,reentry_after_stop;ignored_own_filter;oversized,?,07:06,?,?,Quit small green while CYN ran 250%; -12k there after scaling to 30k shares past his own 3-strikes rule
